glucose_level,meal,food_type,food_amount,exercise_duration,medication,body_temp,heart_rate,time_of_day,insulin_required
215,lunch,fats,367,47,yes,36.5,71,night,5.0
184,dinner,carbs,340,37,yes,36.2,78,morning,4.1
155,snack,carbs,125,31,no,36.7,96,night,2.9
79,dinner,carbs,245,30,no,36.9,65,morning,12.2
224,breakfast,protein,134,62,no,35.9,101,afternoon,19.6
138,breakfast,carbs,275,10,yes,36.6,74,night,10.0
162,dinner,protein,292,72,no,36.6,119,night,7.7
162,dinner,protein,202,37,no,36.3,60,evening,6.7
97,dinner,protein,155,44,yes,36.3,96,evening,8.9
221,snack,carbs,200,67,yes,36.7,76,afternoon,2.3
241,snack,protein,268,19,yes,36.8,81,afternoon,2.6
140,dinner,fats,510,58,yes,35.9,115,morning,18.4
248,breakfast,carbs,393,34,yes,37.1,103,night,16.6
158,lunch,protein,173,39,yes,37.0,118,afternoon,18.2
85,dinner,protein,555,39,no,36.4,71,night,2.4
166,snack,carbs,277,0,no,36.9,106,evening,2.7
141,dinner,carbs,335,4,no,36.4,98,evening,14.2
125,lunch,mixed,459,43,no,37.1,107,evening,9.8
224,lunch,fats,234,57,no,36.9,69,night,8.2
211,lunch,protein,305,70,yes,36.8,95,morning,14.0
96,snack,protein,375,42,yes,37.1,104,evening,7.8
224,breakfast,fats,532,35,yes,37.2,114,morning,2.9
94,lunch,carbs,581,89,no,35.4,111,evening,8.1
173,snack,protein,278,44,no,36.2,95,evening,14.6
132,breakfast,mixed,206,85,no,36.7,105,night,9.5
222,dinner,protein,146,71,yes,36.4,74,evening,10.8
139,dinner,carbs,230,85,no,35.8,89,afternoon,16.8
143,snack,carbs,537,27,no,36.2,115,afternoon,9.3
212,lunch,fats,543,37,yes,35.4,96,evening,18.6
90,lunch,fats,513,7,no,36.9,101,evening,15.7
149,lunch,mixed,514,85,yes,38.0,96,afternoon,2.3
167,dinner,protein,574,10,no,36.3,109,night,10.7
237,breakfast,carbs,280,35,no,36.6,108,morning,8.8
176,lunch,protein,412,46,no,36.9,114,night,17.1
164,dinner,mixed,173,18,no,36.6,66,night,18.9
201,dinner,mixed,280,55,yes,37.0,85,evening,6.7
120,snack,protein,204,70,no,36.1,62,morning,17.7
207,snack,fats,338,57,no,36.2,99,night,2.6
135,breakfast,protein,367,16,yes,36.1,87,afternoon,9.7
127,snack,protein,131,17,yes,36.4,108,morning,10.9
81,breakfast,fats,596,72,no,35.3,64,afternoon,5.7
214,dinner,protein,521,19,no,36.1,83,afternoon,9.7
97,dinner,protein,508,73,no,37.0,118,afternoon,5.4
123,snack,fats,435,8,no,35.1,84,morning,9.6
123,lunch,fats,211,34,yes,36.7,100,afternoon,19.0
95,lunch,mixed,311,21,yes,37.2,67,morning,14.2
195,lunch,protein,526,32,yes,37.2,102,afternoon,11.3
211,breakfast,carbs,571,67,no,38.1,94,night,2.2
194,snack,carbs,402,55,no,37.0,114,evening,3.1
179,snack,carbs,498,9,yes,36.4,75,night,3.7
155,dinner,carbs,181,86,no,36.6,95,afternoon,15.3
89,dinner,mixed,461,59,no,36.6,80,evening,5.4
81,lunch,mixed,158,87,no,37.0,111,night,17.9
90,dinner,fats,297,31,yes,36.5,113,night,6.9
221,lunch,fats,278,2,no,36.3,117,afternoon,15.1
248,dinner,carbs,528,46,yes,35.7,62,night,8.0
147,lunch,protein,566,3,no,37.0,115,morning,19.3
87,breakfast,protein,424,27,yes,37.1,96,night,4.9
213,dinner,mixed,351,53,no,36.3,86,night,6.4
211,breakfast,protein,439,78,no,36.7,119,afternoon,2.6
87,lunch,carbs,351,51,no,36.3,114,afternoon,17.4
173,dinner,carbs,475,76,yes,36.7,103,night,9.0
195,dinner,fats,149,66,yes,37.1,63,morning,15.6
209,lunch,carbs,315,62,yes,36.8,109,night,7.5
243,dinner,fats,382,40,yes,36.9,85,night,12.8
112,breakfast,mixed,397,81,yes,36.5,115,morning,10.1
224,dinner,mixed,277,77,no,36.3,91,afternoon,10.0
179,snack,fats,557,63,no,36.1,60,afternoon,16.0
73,lunch,carbs,177,83,no,36.7,66,evening,3.6
79,dinner,protein,366,58,yes,37.1,93,afternoon,19.7
209,snack,carbs,395,11,yes,36.5,86,night,19.2
75,snack,protein,512,28,no,36.8,102,afternoon,8.0
88,dinner,protein,310,5,yes,36.2,87,night,5.8
148,lunch,mixed,336,5,no,36.3,72,morning,17.4
139,breakfast,fats,350,61,yes,36.3,99,afternoon,14.4
207,snack,carbs,434,5,no,37.5,90,evening,17.0
190,lunch,mixed,214,42,no,36.3,100,morning,20.0
166,snack,carbs,492,37,yes,36.5,84,morning,4.2
137,lunch,carbs,182,60,no,35.8,109,night,7.8
122,snack,carbs,404,18,no,36.2,91,night,18.1
208,breakfast,fats,390,77,yes,36.3,67,evening,7.4
174,snack,mixed,470,79,no,35.8,118,afternoon,3.9
185,dinner,fats,517,58,yes,35.3,65,afternoon,12.9
231,breakfast,protein,496,47,yes,37.1,71,evening,9.6
230,lunch,carbs,495,31,yes,36.8,108,afternoon,16.3
85,lunch,fats,404,78,no,36.1,92,night,6.3
157,dinner,fats,109,85,no,36.4,60,morning,18.2
123,dinner,fats,165,42,yes,36.4,112,night,18.3
176,breakfast,mixed,424,89,no,35.9,99,afternoon,14.2
199,lunch,mixed,516,72,yes,36.0,100,morning,19.6
148,snack,fats,120,2,no,36.5,101,night,19.3
196,lunch,fats,279,61,no,36.2,75,afternoon,14.5
230,breakfast,mixed,221,53,yes,36.0,95,afternoon,16.8
185,lunch,protein,553,44,no,37.3,115,night,8.2
203,snack,protein,577,61,yes,36.2,108,evening,2.4
112,dinner,carbs,140,35,no,37.0,75,night,9.9
80,dinner,mixed,348,44,yes,36.3,84,night,8.0
149,dinner,fats,132,11,no,38.1,119,morning,18.0
208,lunch,protein,108,40,yes,36.5,71,morning,18.1
208,lunch,protein,591,49,no,36.9,86,afternoon,18.2
186,lunch,fats,192,62,yes,36.0,102,evening,2.6
243,dinner,protein,278,4,yes,36.4,93,afternoon,19.1
141,snack,carbs,412,62,yes,37.1,105,evening,14.6
147,breakfast,carbs,192,85,yes,36.3,72,afternoon,4.7
181,breakfast,fats,254,81,yes,37.2,66,evening,15.7
158,dinner,fats,490,70,no,36.3,81,afternoon,15.5
240,breakfast,fats,149,21,yes,37.3,63,evening,15.9
130,dinner,carbs,208,24,yes,36.7,97,morning,17.6
83,dinner,mixed,362,32,no,36.5,66,afternoon,18.1
143,breakfast,mixed,310,34,yes,36.1,76,evening,11.7
244,breakfast,fats,360,41,no,37.7,87,night,18.5
161,lunch,mixed,283,5,no,36.5,79,evening,2.9
140,snack,carbs,575,51,no,36.6,88,afternoon,10.8
88,snack,mixed,375,81,yes,36.4,100,evening,10.6
199,breakfast,fats,473,14,no,36.0,72,evening,12.9
115,dinner,carbs,391,44,yes,37.1,119,night,9.4
207,snack,fats,558,34,no,36.8,60,afternoon,19.3
249,dinner,mixed,178,17,no,36.0,98,evening,10.4
87,dinner,mixed,233,89,yes,36.3,61,afternoon,5.4
73,lunch,carbs,399,27,yes,36.4,100,morning,8.9
92,breakfast,carbs,145,86,no,37.0,84,evening,3.4
81,snack,carbs,576,16,no,36.4,107,afternoon,8.6
244,breakfast,carbs,205,39,no,36.7,86,evening,10.4
244,breakfast,protein,545,10,no,35.7,67,afternoon,14.0
131,dinner,fats,121,88,no,35.9,71,morning,16.1
198,lunch,fats,151,15,yes,36.9,60,night,6.2
231,lunch,fats,159,74,yes,36.3,64,night,19.7
92,dinner,carbs,409,3,no,36.3,117,evening,3.4
166,snack,fats,445,47,no,36.5,102,night,4.3
89,snack,fats,357,31,no,36.4,119,afternoon,10.6
179,lunch,protein,360,32,yes,36.4,89,afternoon,17.3
207,dinner,protein,163,60,yes,36.5,65,night,4.0
200,snack,mixed,340,64,yes,35.7,76,morning,18.2
119,breakfast,carbs,554,71,no,35.7,74,evening,17.0
205,dinner,protein,163,69,yes,35.7,66,morning,6.3
150,dinner,protein,147,8,yes,36.6,102,evening,6.5
201,lunch,mixed,559,21,no,35.9,70,morning,2.6
173,breakfast,fats,459,44,no,36.8,93,night,7.1
74,lunch,carbs,230,43,no,36.1,109,night,6.2
198,snack,protein,315,46,yes,36.6,89,evening,11.5
73,snack,mixed,329,52,yes,37.0,83,afternoon,8.5
76,snack,mixed,202,16,yes,36.3,101,night,4.4
208,lunch,protein,581,12,yes,36.0,94,afternoon,12.6
190,lunch,fats,290,81,yes,36.3,80,night,4.6
203,breakfast,protein,346,17,no,36.4,101,evening,10.5
146,dinner,protein,178,34,yes,36.2,65,night,7.1
102,breakfast,fats,361,61,yes,35.5,97,morning,9.8
242,lunch,mixed,278,18,yes,36.0,73,morning,10.0
100,dinner,fats,129,84,no,36.3,62,morning,19.4
107,lunch,carbs,312,55,no,37.0,97,night,10.1
233,lunch,protein,278,49,yes,36.6,71,afternoon,5.6
238,snack,mixed,114,24,no,36.5,60,evening,11.8
72,lunch,fats,215,46,yes,37.1,107,evening,10.8
70,breakfast,carbs,139,34,yes,36.2,107,afternoon,8.5
204,snack,fats,105,59,yes,37.2,88,morning,7.6
239,dinner,mixed,130,50,yes,36.6,60,night,16.9
115,dinner,carbs,485,45,yes,36.8,88,morning,13.4
196,snack,fats,264,38,yes,36.9,95,afternoon,12.4
168,snack,fats,318,54,no,37.6,105,evening,11.4
145,snack,fats,507,51,yes,37.7,105,evening,16.0
86,dinner,mixed,232,20,no,36.4,65,morning,4.0
131,snack,protein,103,78,yes,36.1,88,evening,6.4
129,dinner,protein,189,22,yes,36.8,109,evening,9.6
233,snack,protein,523,11,yes,36.2,95,afternoon,11.2
209,breakfast,carbs,440,69,no,35.9,78,morning,4.4
139,dinner,mixed,291,39,yes,36.5,118,night,16.3
171,snack,protein,166,7,yes,35.9,108,afternoon,19.8
132,dinner,fats,104,47,no,37.2,64,evening,12.2
211,lunch,mixed,356,50,no,37.0,105,afternoon,5.0
131,snack,protein,260,74,yes,36.3,72,afternoon,9.2
157,dinner,carbs,454,57,no,36.6,77,afternoon,7.3
228,lunch,fats,187,34,yes,36.2,98,morning,12.3
101,lunch,mixed,361,1,yes,36.4,78,evening,12.5
130,dinner,fats,131,19,no,36.4,82,night,11.4
204,breakfast,carbs,595,70,no,37.0,70,evening,9.6
92,breakfast,mixed,377,0,yes,36.7,116,evening,14.1
156,lunch,fats,439,2,yes,36.7,61,morning,7.1
133,dinner,protein,181,16,yes,37.6,102,afternoon,11.7
225,lunch,mixed,162,88,no,35.7,90,afternoon,8.3
162,snack,protein,307,48,no,36.7,117,afternoon,9.4
88,lunch,carbs,148,42,yes,35.7,69,evening,19.8
217,dinner,protein,186,81,no,36.5,79,morning,9.4
234,breakfast,mixed,155,24,yes,36.6,117,morning,17.6
168,breakfast,mixed,253,77,yes,36.7,115,evening,4.2
110,breakfast,carbs,385,85,no,36.8,116,night,5.7
185,dinner,carbs,420,34,yes,35.9,116,evening,3.2
217,dinner,carbs,162,36,no,36.9,86,afternoon,10.4
198,breakfast,fats,480,71,yes,37.1,98,evening,6.8
175,breakfast,protein,576,3,yes,37.0,75,evening,2.5
151,lunch,mixed,538,84,yes,36.5,115,evening,6.9
122,dinner,fats,103,15,yes,36.0,105,morning,17.0
96,snack,carbs,432,0,no,36.7,114,evening,12.5
72,snack,protein,403,89,yes,35.9,112,morning,6.0
109,breakfast,protein,202,32,yes,37.1,63,night,16.9
100,lunch,fats,283,18,yes,36.8,65,night,12.8
77,snack,fats,216,4,no,37.0,80,evening,2.7
213,snack,fats,312,29,yes,37.2,96,night,13.7
175,dinner,fats,327,10,yes,36.5,69,evening,16.3
160,dinner,mixed,493,84,yes,36.3,102,night,19.3
133,dinner,carbs,366,58,no,37.2,60,morning,12.6
225,dinner,protein,355,29,no,36.3,69,night,16.0
99,lunch,carbs,290,53,no,36.4,91,evening,17.0
112,breakfast,protein,544,71,yes,37.4,96,night,4.9
125,lunch,mixed,327,36,no,37.1,65,evening,3.6
165,dinner,mixed,440,41,no,37.7,78,morning,17.0
81,dinner,fats,317,56,yes,36.5,84,night,17.9
117,dinner,carbs,496,77,no,36.1,111,night,4.2
83,breakfast,protein,517,81,no,36.7,84,morning,19.0
139,dinner,mixed,166,0,yes,36.4,71,afternoon,15.5
235,lunch,fats,595,10,yes,36.8,111,morning,10.1
143,dinner,carbs,188,8,no,36.6,92,morning,11.3
79,lunch,protein,597,22,yes,35.7,84,night,18.8
122,lunch,mixed,223,53,yes,36.1,107,night,3.0
132,snack,carbs,371,83,no,36.3,83,afternoon,15.2
231,lunch,carbs,317,51,no,35.5,100,night,5.1
200,breakfast,protein,449,21,no,37.5,64,afternoon,17.8
237,snack,carbs,168,9,yes,36.1,67,morning,13.1
202,snack,mixed,334,78,yes,36.5,81,morning,2.8
237,dinner,protein,531,75,no,37.1,105,afternoon,5.2
189,breakfast,fats,230,26,no,36.5,87,evening,19.2
133,lunch,fats,363,7,no,36.4,105,afternoon,13.8
142,dinner,fats,427,3,yes,35.8,97,afternoon,16.6
82,dinner,mixed,410,20,yes,36.7,90,morning,7.5
70,snack,mixed,502,53,yes,36.3,79,evening,13.2
198,snack,protein,441,23,no,36.0,97,night,12.2
188,lunch,fats,394,51,no,36.3,61,morning,16.5
117,snack,fats,102,51,yes,36.4,80,evening,9.8
154,snack,carbs,159,74,no,36.0,66,night,13.6
155,breakfast,protein,427,65,yes,36.7,85,afternoon,9.4
159,snack,mixed,307,45,no,36.7,66,evening,15.7
248,dinner,fats,564,15,yes,36.0,86,afternoon,16.7
182,lunch,protein,220,5,no,36.1,78,morning,4.1
192,lunch,mixed,561,53,no,35.3,99,night,19.9
166,dinner,fats,267,67,no,36.1,73,morning,8.2
236,breakfast,protein,208,29,no,36.0,89,morning,3.2
189,breakfast,carbs,450,61,no,37.3,100,afternoon,10.0
143,breakfast,fats,314,16,no,35.9,80,morning,7.5
158,lunch,mixed,154,88,yes,37.1,73,afternoon,16.0
98,dinner,mixed,471,81,no,36.7,86,afternoon,10.0
194,dinner,mixed,431,34,no,37.3,77,night,13.7
127,dinner,protein,531,45,no,36.6,100,evening,13.9
233,breakfast,protein,485,82,no,35.4,91,evening,7.9
170,dinner,fats,234,31,no,36.5,68,afternoon,18.7
135,snack,carbs,496,40,no,36.1,74,afternoon,7.8
195,dinner,carbs,200,19,yes,36.8,85,night,11.1
146,dinner,mixed,383,13,yes,37.2,108,morning,12.0
206,snack,mixed,266,85,yes,36.3,67,afternoon,16.7
126,breakfast,mixed,599,45,no,37.1,102,night,12.9
111,dinner,carbs,284,40,no,36.5,60,night,10.4
127,dinner,carbs,354,21,yes,35.7,86,morning,15.2
97,dinner,protein,567,41,no,36.8,61,evening,8.5
210,breakfast,mixed,238,53,no,35.1,74,night,5.1
184,lunch,fats,525,53,no,35.8,75,evening,3.6
219,snack,carbs,404,9,no,35.8,103,night,3.3
124,breakfast,protein,392,58,yes,36.6,77,morning,7.2
247,lunch,protein,368,39,no,36.8,92,night,17.1
131,snack,carbs,383,70,yes,36.4,68,night,5.9
213,breakfast,carbs,583,44,no,36.8,60,morning,6.3
125,snack,carbs,431,74,yes,37.1,113,night,18.3
188,dinner,mixed,104,45,no,36.5,63,afternoon,9.3
83,dinner,fats,397,10,no,36.0,69,night,8.3
245,lunch,protein,157,64,yes,36.3,81,morning,5.8
174,snack,protein,133,17,yes,36.9,88,night,6.0
158,breakfast,carbs,372,80,yes,36.6,78,night,6.9
133,dinner,fats,529,9,no,36.7,106,afternoon,7.9
202,snack,carbs,561,4,no,36.7,68,night,9.5
180,dinner,protein,321,72,yes,36.3,86,night,6.4
249,snack,protein,328,87,no,37.2,70,evening,4.4
128,dinner,protein,106,83,yes,36.7,70,night,2.4
117,breakfast,mixed,234,61,yes,35.6,94,night,7.1
225,breakfast,carbs,519,31,yes,36.9,77,afternoon,19.9
122,snack,mixed,208,62,no,36.1,115,morning,7.6
169,breakfast,fats,333,69,no,36.3,81,afternoon,20.0
94,breakfast,carbs,447,59,no,35.2,99,afternoon,10.0
243,lunch,mixed,320,50,yes,36.7,107,evening,11.4
206,snack,mixed,484,73,no,36.5,92,morning,14.6
231,breakfast,carbs,242,10,no,37.5,62,night,5.0
199,snack,mixed,242,21,no,36.0,76,morning,9.0
247,snack,protein,521,67,no,37.3,117,evening,18.0
183,dinner,mixed,195,31,yes,36.4,108,afternoon,3.7
248,breakfast,mixed,246,41,yes,36.3,101,afternoon,16.9
172,breakfast,protein,162,85,no,35.9,116,afternoon,12.1
188,dinner,mixed,238,0,no,35.7,101,morning,8.6
213,dinner,protein,157,57,no,35.9,86,night,5.0
241,breakfast,protein,318,87,yes,36.5,72,evening,5.0
118,snack,carbs,379,52,yes,36.9,105,evening,13.5
213,snack,fats,185,36,no,36.0,85,evening,18.6
111,snack,carbs,370,60,no,36.4,96,afternoon,15.3
102,breakfast,carbs,123,19,no,37.2,112,night,14.3
148,lunch,mixed,309,66,yes,36.3,71,night,4.5
74,dinner,fats,102,37,no,36.5,119,afternoon,13.8
136,breakfast,mixed,333,85,yes,36.5,97,night,9.1
81,breakfast,fats,385,82,yes,37.1,101,night,16.8
226,snack,fats,553,70,no,36.8,107,night,5.6
96,breakfast,fats,142,89,no,36.2,84,night,6.8
215,breakfast,protein,230,15,yes,37.0,109,night,17.0
239,breakfast,mixed,356,62,no,36.5,91,evening,9.6
244,breakfast,carbs,351,20,no,35.3,61,morning,13.1
90,breakfast,protein,573,29,no,36.0,102,morning,13.7
223,snack,carbs,587,87,yes,37.1,107,night,8.0
219,dinner,mixed,204,50,yes,36.7,69,evening,4.2
76,dinner,fats,518,17,yes,36.7,81,morning,14.1
96,snack,protein,490,2,yes,36.4,88,night,7.8
134,lunch,protein,212,23,yes,35.8,96,night,9.8
157,dinner,protein,149,52,no,35.7,90,morning,2.8
130,dinner,protein,153,39,no,37.2,70,morning,2.2
194,snack,mixed,320,0,no,36.4,91,afternoon,7.5
198,breakfast,protein,296,75,yes,36.2,63,afternoon,16.8
136,lunch,carbs,577,66,no,37.2,99,morning,9.8
225,lunch,protein,148,46,no,37.4,119,afternoon,18.5
109,snack,fats,527,9,yes,35.6,62,afternoon,10.2
228,dinner,carbs,577,51,no,36.4,74,morning,14.0
189,breakfast,fats,589,32,no,37.0,75,morning,9.8
204,lunch,fats,569,27,no,36.4,74,afternoon,10.1
122,snack,fats,105,63,yes,36.9,115,evening,8.9
228,snack,carbs,450,14,yes,37.6,116,afternoon,15.7
248,lunch,protein,165,35,yes,35.7,103,morning,5.5
204,breakfast,carbs,551,15,no,36.2,63,night,7.9
131,dinner,mixed,457,43,yes,36.2,89,afternoon,10.9
135,lunch,mixed,588,37,no,36.5,110,afternoon,14.2
169,breakfast,protein,284,20,yes,36.1,107,evening,19.7
115,breakfast,fats,277,51,yes,36.7,66,morning,7.5
156,lunch,fats,549,31,no,36.8,115,afternoon,9.7
103,dinner,protein,282,37,no,36.2,109,afternoon,11.2
141,dinner,mixed,262,18,no,36.1,79,evening,11.4
174,breakfast,fats,147,12,no,37.3,95,afternoon,9.2
90,dinner,carbs,255,0,no,37.0,64,night,7.5
233,breakfast,carbs,213,12,yes,35.8,63,morning,13.1
241,dinner,fats,204,17,yes,37.1,65,evening,2.9
104,dinner,fats,325,43,no,37.2,64,night,15.2
81,lunch,carbs,267,36,no,36.5,84,night,8.6
81,lunch,mixed,409,30,no,37.2,115,evening,16.0
89,snack,fats,143,71,yes,37.4,76,afternoon,12.0
181,lunch,carbs,165,28,yes,36.9,84,afternoon,9.5
108,lunch,protein,535,41,no,35.8,89,morning,8.9
236,breakfast,carbs,126,50,no,37.0,80,afternoon,10.2
185,breakfast,fats,544,17,yes,36.3,82,morning,13.9
168,dinner,mixed,236,79,no,35.1,86,night,5.2
239,snack,fats,420,80,yes,36.4,75,afternoon,8.8
182,breakfast,mixed,472,4,no,37.2,63,afternoon,3.3
77,dinner,mixed,583,45,no,36.8,79,evening,16.5
121,breakfast,carbs,499,83,no,37.2,96,night,20.0
202,lunch,protein,358,6,no,35.6,86,evening,7.6
181,dinner,carbs,445,21,no,35.9,68,morning,8.1
141,snack,protein,274,79,no,37.2,119,afternoon,10.0
136,snack,mixed,495,89,no,37.3,65,evening,10.9
131,lunch,protein,197,64,yes,36.9,117,morning,8.4
227,breakfast,carbs,458,17,yes,36.2,102,morning,12.8
140,lunch,protein,490,70,yes,36.7,112,night,11.6
160,dinner,carbs,188,33,yes,36.7,98,night,3.8
201,breakfast,fats,533,15,no,37.1,63,night,4.4
108,dinner,mixed,565,36,no,36.3,119,night,8.1
139,snack,mixed,307,30,yes,36.9,107,afternoon,7.6
78,breakfast,mixed,288,12,no,36.3,85,afternoon,15.9
201,lunch,fats,263,6,no,36.4,113,evening,16.3
118,snack,fats,217,74,yes,36.3,99,evening,3.9
236,snack,protein,402,87,yes,36.5,79,evening,10.6
92,lunch,mixed,485,66,yes,36.1,82,evening,5.6
144,dinner,mixed,210,47,no,36.7,88,afternoon,13.3
201,breakfast,carbs,598,73,yes,36.2,78,night,4.1
85,snack,protein,496,15,yes,37.4,78,afternoon,13.8
169,breakfast,carbs,240,87,no,36.2,91,afternoon,15.1
155,lunch,carbs,441,87,yes,36.4,81,morning,8.9
85,snack,mixed,557,14,yes,36.5,60,evening,6.9
101,dinner,mixed,581,53,no,36.9,112,morning,9.0
224,dinner,carbs,259,13,yes,36.4,90,night,19.1
115,breakfast,carbs,114,66,yes,36.8,91,evening,10.2
70,snack,carbs,531,79,no,36.7,75,afternoon,9.6
178,snack,mixed,140,18,yes,36.7,117,evening,9.9
142,snack,protein,589,53,no,36.6,105,afternoon,9.9
221,snack,carbs,438,39,yes,36.5,74,afternoon,19.9
129,breakfast,mixed,281,49,no,37.3,60,night,18.8
192,lunch,fats,361,78,yes,36.8,109,afternoon,7.5
116,snack,protein,280,86,yes,37.1,117,morning,6.3
217,dinner,fats,400,39,no,36.7,72,evening,12.8
71,breakfast,fats,208,48,no,36.9,111,morning,14.2
193,lunch,carbs,461,47,no,36.7,77,night,6.5
125,lunch,carbs,155,87,no,36.1,95,afternoon,7.0
236,lunch,carbs,269,54,yes,37.5,75,night,16.0
103,snack,carbs,293,81,no,35.9,106,night,10.6
197,lunch,mixed,584,19,no,36.2,103,afternoon,14.0
230,lunch,protein,163,81,yes,36.2,118,morning,19.4
78,dinner,carbs,196,40,yes,37.7,72,afternoon,18.1
172,dinner,mixed,533,43,no,36.2,116,night,13.8
162,lunch,fats,386,25,yes,36.3,65,afternoon,18.9
246,lunch,carbs,242,65,yes,36.7,111,evening,13.6
97,breakfast,protein,399,35,yes,36.5,82,evening,10.3
95,dinner,protein,364,42,yes,35.9,85,night,6.3
217,snack,mixed,298,42,no,36.3,103,afternoon,15.5
126,dinner,mixed,106,33,yes,36.7,78,afternoon,8.5
199,snack,protein,485,32,yes,36.8,66,morning,3.9
239,lunch,protein,539,34,yes,36.2,71,afternoon,5.8
188,snack,carbs,509,9,no,36.1,75,afternoon,10.9
136,lunch,fats,432,72,no,35.7,86,night,8.9
184,dinner,protein,418,16,no,36.2,109,afternoon,14.6
199,snack,carbs,107,63,yes,36.3,118,evening,18.9
189,snack,mixed,329,1,yes,37.2,94,night,11.3
141,dinner,protein,548,57,no,35.9,119,night,9.4
85,lunch,protein,243,77,yes,35.5,97,evening,16.1
158,dinner,mixed,230,45,no,36.8,115,morning,17.8
214,lunch,mixed,337,63,yes,37.4,77,afternoon,17.9
193,breakfast,carbs,478,71,yes,37.1,70,night,11.2
191,snack,mixed,494,77,no,36.2,85,morning,5.7
120,breakfast,mixed,533,38,no,36.7,78,evening,13.0
107,breakfast,mixed,155,85,yes,36.5,97,morning,12.4
93,dinner,protein,155,32,yes,37.0,87,evening,7.9
156,breakfast,carbs,580,22,no,36.4,66,night,15.3
166,breakfast,fats,229,27,yes,35.8,71,morning,8.3
245,lunch,fats,511,77,yes,36.5,99,evening,5.2
109,breakfast,mixed,267,7,yes,35.8,115,morning,13.3
94,snack,mixed,103,18,yes,36.2,101,night,11.0
233,snack,fats,594,55,yes,36.5,83,afternoon,8.2
206,breakfast,mixed,134,9,no,36.5,105,morning,19.9
162,lunch,protein,258,2,no,36.3,69,evening,12.0
234,dinner,fats,514,32,yes,35.8,111,evening,14.2
129,lunch,fats,596,45,no,35.8,99,evening,8.5
102,lunch,protein,503,13,no,36.3,104,morning,12.7
159,breakfast,carbs,317,81,no,36.4,119,night,7.3
74,breakfast,protein,151,27,yes,36.2,107,afternoon,19.4
80,breakfast,mixed,371,40,no,36.6,83,morning,15.5
240,dinner,fats,286,31,yes,36.8,104,afternoon,11.1
98,snack,fats,457,59,no,35.8,116,morning,3.3
105,dinner,carbs,297,65,no,36.7,60,morning,7.3
132,breakfast,protein,553,14,no,37.3,77,evening,18.1
101,breakfast,carbs,379,43,no,36.6,65,afternoon,2.3
99,lunch,protein,249,40,yes,36.1,87,night,8.0
206,snack,carbs,240,71,yes,36.6,76,afternoon,2.3
198,dinner,mixed,200,70,yes,35.9,73,morning,3.4
92,lunch,mixed,113,38,no,35.8,85,afternoon,9.3
152,snack,mixed,224,50,no,36.3,69,afternoon,10.9
132,lunch,fats,216,82,yes,36.2,93,afternoon,9.1
180,breakfast,fats,142,25,yes,36.1,64,evening,15.7
223,lunch,mixed,322,2,no,36.6,103,afternoon,8.2
92,snack,fats,383,67,yes,36.3,91,afternoon,3.1
186,snack,fats,304,6,yes,37.1,91,night,4.9
190,breakfast,fats,425,74,no,35.5,93,afternoon,5.3
76,lunch,mixed,111,40,no,36.2,70,night,9.3
179,dinner,protein,520,72,no,36.9,102,evening,6.5
114,dinner,fats,109,62,no,36.4,106,evening,3.0
124,breakfast,protein,506,1,yes,36.2,90,night,10.4
112,dinner,fats,563,26,no,36.3,64,evening,3.3
116,snack,carbs,567,87,yes,36.6,93,night,15.5
244,dinner,carbs,536,18,no,37.0,94,morning,5.0
218,breakfast,mixed,333,70,yes,36.3,106,morning,15.2
246,breakfast,carbs,592,76,yes,37.1,62,night,16.8
171,lunch,mixed,551,63,no,36.8,99,night,13.6
178,breakfast,fats,475,20,yes,35.6,71,night,2.5
171,snack,carbs,354,47,no,36.6,63,morning,4.8
76,lunch,carbs,368,51,yes,36.7,108,afternoon,15.5
227,lunch,fats,492,29,yes,35.8,107,evening,7.1
83,lunch,mixed,307,55,no,36.1,78,afternoon,14.3
112,snack,mixed,530,75,no,37.6,65,evening,10.3
228,dinner,mixed,404,76,yes,37.1,116,morning,11.3
74,dinner,fats,566,33,no,35.5,99,evening,5.8
153,breakfast,mixed,498,77,yes,36.3,70,morning,18.9
171,breakfast,fats,417,66,yes,35.6,107,morning,15.9
156,breakfast,protein,219,54,yes,36.2,92,evening,5.9
167,lunch,carbs,588,18,no,36.5,98,morning,10.2
202,breakfast,protein,216,86,no,36.5,72,night,9.1
220,breakfast,protein,439,44,yes,36.6,101,night,9.1
190,breakfast,carbs,226,83,yes,36.9,105,evening,18.0
171,snack,carbs,180,54,yes,36.0,68,evening,16.4
172,snack,fats,598,15,yes,36.6,61,morning,14.3
136,lunch,protein,422,58,yes,35.5,96,morning,11.3
177,breakfast,protein,320,36,yes,36.8,72,night,6.9
216,breakfast,mixed,426,6,no,36.8,63,evening,14.4
224,breakfast,carbs,147,59,yes,36.3,81,morning,18.5
249,dinner,fats,108,56,no,36.4,80,morning,9.4
211,dinner,fats,396,61,no,36.6,98,afternoon,15.2
149,lunch,fats,595,38,yes,35.6,69,morning,15.5
169,snack,carbs,536,46,yes,36.2,109,night,12.0
245,breakfast,fats,220,78,no,36.2,111,evening,6.4
213,dinner,mixed,540,51,no,35.5,66,morning,15.2
143,lunch,carbs,339,37,no,36.2,76,morning,8.7
78,lunch,fats,397,27,no,36.4,72,evening,9.0
138,lunch,fats,337,58,yes,36.5,114,night,12.8
